2024-06-15 22:58:41 | ERROR | c.e.m.security.AuthTokenFilter | TOKEN: 
2024-06-15 22:58:41 | INFO  | c.e.m.security.AuthTokenFilter | Parsing JWT token...
2024-06-15 22:58:41 | INFO  | c.e.m.security.AuthTokenFilter | Getting Authorization header from request...
2024-06-15 22:58:41 | WARN  | c.e.m.security.AuthTokenFilter | Failed to find Bearer token in Authorization header!
2024-06-15 22:58:41 | INFO  | c.e.m.security.AuthTokenFilter | Validating JWT token...
2024-06-15 22:58:44 | ERROR | c.e.m.security.AuthTokenFilter | TOKEN: 
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Parsing JWT token...
2024-06-15 22:58:44 | ERROR | c.e.m.security.AuthTokenFilter | TOKEN: 
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Getting Authorization header from request...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Parsing JWT token...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Getting Authorization header from request...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracted Bearer token from Authorization header!
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracted Bearer token from Authorization header!
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Validating JWT token...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Validating JWT token...
2024-06-15 22:58:44 | ERROR | c.e.m.security.AuthTokenFilter | TOKEN: 
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Parsing JWT token...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Getting Authorization header from request...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracted Bearer token from Authorization header!
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Validating JWT token...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracting username...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracting username...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracting username...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracted username!
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracted username!
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Trying to authenticate user...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Trying to authenticate user...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Extracted username!
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Trying to authenticate user...
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Successfully authenticated user!
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Successfully authenticated user!
2024-06-15 22:58:44 | INFO  | c.e.m.security.AuthTokenFilter | Successfully authenticated user!
